,2010_cell,2010_net,2010_hdi,region
Angola,40.2384025319555,2.8,0.495,africa_sub_saharan
Albania,91.5609287457172,45.0,0.738,europe_east
United Arab Emirates,132.105385721423,68.0,0.8240000000000001,asia_west
Argentina,138.468978509039,45.0,0.816,america_south
Armenia,134.339110370759,25.0,0.7290000000000001,europe_east
Antigua and Barbuda,177.44372022268902,47.0,0.782,america_north
Australia,101.71760805032,76.0,0.927,east_asia_pacific
Austria,145.553795867252,75.17,0.88,europe_west
Azerbaijan,100.749032073997,46.0,0.741,europe_east
Burundi,19.140440268144,1.0,0.385,africa_sub_saharan
Belgium,111.110074022243,75.0,0.884,europe_west
Benin,76.90743352263479,3.13,0.454,africa_sub_saharan
Burkina Faso,36.576550008884894,2.4,0.377,africa_sub_saharan
Bangladesh,44.6429759407979,3.7,0.545,asia_west
Bulgaria,137.751610825177,46.23,0.775,europe_east
Bahrain,126.28318056318899,55.0,0.812,asia_west
Bosnia and Herzegovina,83.56160151141141,42.75,0.711,europe_east
Belarus,109.07656028335501,31.8,0.787,europe_east
Belize,60.3843809855476,28.2,0.7,america_north
Bolivia,72.38473310088621,22.4,0.649,america_south
Brazil,100.06794285312401,40.65,0.7240000000000001,america_south
Bhutan,54.1910090278036,13.6,0.5720000000000001,asia_west
Botswana,117.298668993372,6.0,0.6779999999999999,africa_sub_saharan
Canada,75.5821093172259,80.3,0.903,america_north
Switzerland,123.138313459026,83.9,0.932,europe_west
Chile,116.823565259689,45.0,0.82,america_south
China,63.173361051305,34.3,0.7,east_asia_pacific
Cote d'Ivoire,76.4609132610024,2.7,0.441,africa_sub_saharan
Cameroon,43.2470602255978,4.3,0.486,africa_sub_saharan
"Congo, Dem. Rep.",18.3195136922942,0.72,0.398,africa_sub_saharan
"Congo, Rep.",84.7733816795477,5.0,0.5579999999999999,africa_sub_saharan
Colombia,96.86301459749079,36.5,0.7,america_south
Comoros,23.964030320780896,5.1,0.479,africa_sub_saharan
Costa Rica,68.8268269501549,36.5,0.752,america_north
Cuba,8.850352830848461,15.9,0.78,america_north
Cyprus,124.933067536547,52.99,0.847,europe_west
Germany,109.277748868484,82.0,0.912,europe_west
Dominica,147.770156774916,47.45,0.722,america_north
Denmark,115.589024642276,88.72,0.91,europe_west
Algeria,90.7594397717658,12.5,0.7240000000000001,africa_north
Ecuador,98.9691115115212,29.03,0.71,america_south
Eritrea,4.219579852602241,0.61,0.405,africa_sub_saharan
Spain,109.833130399415,65.8,0.867,europe_west
Estonia,124.075258501226,74.1,0.838,europe_east
Ethiopia,7.81504143488448,0.75,0.411,africa_sub_saharan
Finland,156.36117904156401,86.89,0.878,europe_east
Fiji,81.15820687249258,20.0,0.7090000000000001,east_asia_pacific
France,91.6833077515988,77.28,0.882,europe_west
"Micronesia, Fed. Sts.",26.557674490426198,20.0,0.638,east_asia_pacific
