,2015_cell,2015_net,2015_hdi,region
Angola,49.838041544826794,12.4,0.5329999999999999,africa_sub_saharan
Albania,116.337512554082,63.252932696931,0.764,europe_east
United Arab Emirates,196.001399123603,90.5,0.84,asia_west
Argentina,142.434809806539,68.0430641088122,0.8270000000000001,america_south
Armenia,118.770976533708,64.3460297653742,0.743,europe_east
Antigua and Barbuda,176.135624430812,70.0,0.7859999999999999,america_north
Australia,108.279330925333,84.560519347399,0.939,east_asia_pacific
Austria,155.215524706184,83.9401419315026,0.893,europe_west
Azerbaijan,111.225888184477,77.0,0.759,europe_east
Burundi,49.0005265082697,4.86622446359511,0.404,africa_sub_saharan
Belgium,113.16582122158701,85.0529,0.8959999999999999,europe_west
Benin,88.1051181018976,11.2549879092022,0.485,africa_sub_saharan
Burkina Faso,79.7702884229721,11.387646166247,0.402,africa_sub_saharan
Bangladesh,81.4981401529021,14.4,0.579,asia_west
Bulgaria,128.105415947511,56.6563,0.794,europe_east
Bahrain,183.62399816307098,93.4783011354165,0.8240000000000001,asia_west
Bosnia and Herzegovina,97.3856894914848,52.6027298844675,0.75,europe_east
Belarus,120.688975024911,67.3,0.7959999999999999,europe_east
Belize,58.990559105787,41.589999999835,0.706,america_north
Bolivia,94.7609188318,35.56227065,0.674,america_south
Brazil,125.175585210072,58.327951734092395,0.754,america_south
Bhutan,85.82156655058641,39.8,0.607,asia_west
Botswana,157.311774368696,37.3120503733278,0.698,africa_sub_saharan
Canada,82.79621957440601,88.47,0.92,america_north
Switzerland,135.138487619067,87.47905559786751,0.939,europe_west
Chile,130.646679969088,64.289,0.847,america_south
China,92.4808728658819,50.3,0.738,east_asia_pacific
Cote d'Ivoire,109.94932940611601,21.88520842,0.474,africa_sub_saharan
Cameroon,79.5316275943941,20.6801476606263,0.518,africa_sub_saharan
"Congo, Dem. Rep.",49.54653171684689,3.7999995072729997,0.435,africa_sub_saharan
"Congo, Rep.",104.41087922928101,7.61597466209,0.5920000000000001,africa_sub_saharan
Colombia,118.865890156643,55.9049725142924,0.727,america_south
Comoros,54.6401963407356,7.459161385649001,0.498,africa_sub_saharan
Costa Rica,156.735253081834,59.762950137168104,0.7759999999999999,america_north
Cuba,29.1006045317897,37.3050974155373,0.775,america_north
Cyprus,131.790179100937,71.7159,0.856,europe_west
Germany,117.932453171631,87.5898,0.926,europe_west
Dominica,105.593067439381,65.0,0.726,america_north
Denmark,124.44416513805,96.3305,0.925,europe_west
Algeria,108.41732225562099,38.2,0.745,africa_north
Ecuador,80.1752722683229,48.9404337892669,0.7390000000000001,america_south
Eritrea,9.79992473657802,1.0837331156749999,0.42,africa_sub_saharan
Spain,110.06539036103202,78.6896,0.884,europe_west
Estonia,144.720946445773,88.4118116023915,0.865,europe_east
Ethiopia,42.3654191016708,13.855175555555599,0.448,africa_sub_saharan
Finland,134.918749952116,86.4221333325445,0.895,europe_east
Fiji,108.272272905086,42.5,0.736,east_asia_pacific
France,103.450039662752,84.6945,0.897,europe_west
"Micronesia, Fed. Sts.",21.549701722635604,31.501081275309,0.638,east_asia_pacific
Gabon,146.181304803969,45.78453653,0.6970000000000001,africa_sub_saharan
United Kingdom,121.183993230279,92.0003,0.91,europe_west
Georgia,140.47061336335,47.5697596438736,0.769,europe_east
Ghana,126.920980997556,31.44785241,0.579,africa_sub_saharan
Guinea,89.02097029384109,8.2,0.414,africa_sub_saharan
Guinea-Bissau,69.9505683621703,3.5407069170209997,0.424,africa_sub_saharan
Equatorial Guinea,45.37527575976971,21.319999985207,0.5920000000000001,africa_sub_saharan
Greece,112.02418477776399,66.835,0.866,europe_west
Grenada,112.117240669144,53.81,0.754,america_north
Guatemala,111.499579539772,28.805941555352398,0.64,america_north
Guyana,70.603528367733,34.0,0.638,america_south
Honduras,89.8174488097028,27.6198138137825,0.625,america_north
Croatia,104.240871611439,69.8031,0.8270000000000001,europe_east
Haiti,68.1538458234903,12.1977,0.493,america_north
Hungary,120.46091931407899,72.8347,0.836,europe_east
Indonesia,131.292828394227,21.976067711347604,0.6890000000000001,east_asia_pacific
India,76.4717128013315,26.0,0.624,asia_west
Ireland,104.29568943855999,83.4947916666667,0.923,europe_west
Iraq,92.9209385106163,17.22,0.649,asia_west
Iceland,116.25348606934901,98.2,0.921,europe_west
Israel,131.067498273617,77.35208965722529,0.899,asia_west
Italy,147.36979963704098,58.14173495687471,0.887,europe_west
Jordan,150.64431765652,60.1143826895006,0.742,asia_west
Japan,125.461837619826,91.05802839299619,0.903,east_asia_pacific
Kazakhstan,148.224347885659,70.82993359566,0.794,asia_west
Kenya,79.8453239067895,21.0,0.555,africa_sub_saharan
Cambodia,134.36675756325002,22.32743536,0.563,east_asia_pacific
Kiribati,36.474596777780704,12.99748389414,0.588,east_asia_pacific
Kuwait,148.54270828198798,77.52326901,0.8,asia_west
Lebanon,79.59784184477121,74.0,0.763,asia_west
Liberia,81.162391232506,5.903867602798999,0.4270000000000001,africa_sub_saharan
Sri Lanka,115.378950702036,29.988737549341,0.7659999999999999,asia_west
Lesotho,98.41335022497921,25.0,0.4970000000000001,africa_sub_saharan
Lithuania,142.706637207078,71.378,0.848,europe_east
Luxembourg,142.357796594917,97.3341,0.898,europe_west
Latvia,129.976819964038,79.2006,0.83,europe_east
Morocco,123.780413835208,57.08,0.647,africa_north
Moldova,91.32206749664292,69.0,0.6990000000000001,europe_east
Madagascar,44.1269545608648,4.173972190007,0.512,africa_sub_saharan
Maldives,176.812785759184,54.461955146941996,0.701,asia_west
Mexico,85.5409247888027,57.4310429923633,0.762,america_north
"Macedonia, FYR",100.20559724677601,70.3802,0.748,europe_east
Mali,129.946407425504,10.33,0.442,africa_sub_saharan
Malta,122.577499438749,76.184,0.856,europe_west
Montenegro,160.446561324975,68.1195810359317,0.807,europe_east
Mongolia,103.06626709803601,21.4360311065255,0.735,east_asia_pacific
Mozambique,71.8830249492952,16.93353299,0.418,africa_sub_saharan
Mauritania,87.13978606718099,15.199126690825,0.513,africa_sub_saharan
Mauritius,139.925491640835,50.13931847667111,0.7809999999999999,africa_sub_saharan
Malawi,37.3668706714563,9.2981483471244,0.476,africa_sub_saharan
Malaysia,143.552965182124,71.06406781119571,0.789,east_asia_pacific
Namibia,105.122773659372,25.68785182,0.64,africa_sub_saharan
Niger,45.026967680749294,2.476219975,0.353,africa_sub_saharan
Nigeria,83.24795074276359,24.5,0.527,africa_sub_saharan
Nicaragua,119.43619199823699,19.704291498993,0.645,america_north
Netherlands,122.85063747384,91.7241379310345,0.924,europe_west
Norway,109.90519701006001,96.8103,0.949,europe_west
Nepal,96.021022545772,17.581618006560003,0.5579999999999999,asia_west
New Zealand,121.35575178588002,88.22288881795001,0.915,east_asia_pacific
Oman,158.26084989558998,66.1338112721995,0.7959999999999999,asia_west
Pakistan,66.4797217018839,14.0,0.55,asia_west
Panama,175.01134345565103,51.20542499486871,0.7879999999999999,america_north
Peru,109.112308313396,40.9,0.74,america_south
Philippines,115.84967763150101,53.7,0.682,east_asia_pacific
Palau,111.53231867718901,,0.7879999999999999,east_asia_pacific
Papua New Guinea,44.950488173665505,7.9,0.516,east_asia_pacific
Poland,142.524259493463,67.997,0.855,europe_west
Portugal,112.441554534911,68.6329,0.843,europe_west
Paraguay,111.64110780361099,48.438687953858995,0.693,america_south
Qatar,150.731824081749,92.88482645354809,0.856,asia_west
Romania,116.31755719445499,55.7632,0.802,europe_east
Rwanda,75.3220609596947,18.0,0.498,africa_sub_saharan
Saudi Arabia,167.30305505466498,69.61623580140039,0.847,asia_west
Sudan,72.29002642142429,26.614928545846,0.49,africa_sub_saharan
